time, occupancy 
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:34 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:35 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:36 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:37 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:38 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 0
Thu Apr 20 13:04:39 2023, 1
Thu Apr 20 13:04:39 2023, 1
Thu Apr 20 13:04:39 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:40 2023, 2
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:41 2023, 3
Thu Apr 20 13:04:41 2023, 3
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:41 2023, 3
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:41 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:42 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:43 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 3
Thu Apr 20 13:04:44 2023, 3
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:44 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:45 2023, 2
Thu Apr 20 13:04:46 2023, 2
Thu Apr 20 13:04:46 2023, 2
Thu Apr 20 13:04:46 2023, 2
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:46 2023, 3
Thu Apr 20 13:04:47 2023, 3
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:47 2023, 3
Thu Apr 20 13:04:47 2023, 3
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:47 2023, 3
Thu Apr 20 13:04:47 2023, 3
Thu Apr 20 13:04:47 2023, 2
Thu Apr 20 13:04:48 2023, 2
Thu Apr 20 13:04:48 2023, 2
Thu Apr 20 13:04:48 2023, 2
Thu Apr 20 13:04:48 2023, 2
Thu Apr 20 13:04:48 2023, 2
Thu Apr 20 13:04:48 2023, 2
Thu Apr 20 13:04:48 2023, 3
Thu Apr 20 13:04:48 2023, 3
Thu Apr 20 13:04:48 2023, 3
Thu Apr 20 13:04:48 2023, 3
Thu Apr 20 13:04:48 2023, 3
Thu Apr 20 13:04:48 2023, 3
Thu Apr 20 13:04:48 2023, 3
Thu Apr 20 13:04:48 2023, 3
Thu Apr 20 13:04:48 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
Thu Apr 20 13:04:49 2023, 3
